id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
267,7/2/16 20:45,53,4,3800,8,3,7584.31,,5989,2417.5,18027.3,2417.5
268,7/2/16 20:49,55,2,1300,5,2,5643.44,,8705,2454.5,20205.4,2454.5
269,7/2/16 20:53,54,4,1200,8,1,7894.57,,15717.5,6105,7794.31,6105
270,7/2/16 20:57,50,5,1550,3,1,3802.15,,6571.5,2787,8535.62,2787
271,7/2/16 20:59,57,1,1200,4,1,1760.48,,2263,484,2243,484
272,7/2/16 21:00,51,5,1200,8,1,19591.55,,16600.5,8419.5,38797.2,8419.5
273,7/2/16 21:08,52,5,1008,8,1,183.23,,6090,2678,1972.82,2678
274,7/2/16 21:12,48,6,1220,3,1,20988.33,,6205.5,1795.5,8059.13,1795.5
275,7/2/16 21:15,53,5,1800,8,3,8785.18,,12162.5,5931.5,27147,5931.5
276,7/2/16 21:19,49,6,1100,7,1,12522.17,,10505,4322,7795.1,4322
277,7/2/16 21:23,55,3,1100,5,2,13485.85,,7725.5,1952.5,15663.8,1952.5
278,7/2/16 21:27,54,5,1200,8,1,18150.27,,21976,9384,11681.5,9384
279,7/2/16 21:30,51,6,1000,8,1,7366.14,,15782,8488,30486.7,8488
280,7/2/16 21:35,50,6,1300,3,1,6811.97,,6879.5,791,6780.21,791
281,7/2/16 21:37,57,2,1200,4,1,3041.26,,1384,168.5,1421.5,168.5
282,7/2/16 21:42,52,6,1608,8,1,242.38,,6111.5,2805.5,2436.94,2805.5
283,7/2/16 21:45,53,6,1200,8,3,30671.82,,18794.5,5939,30586.8,5939
284,7/2/16 21:49,48,7,1120,3,1,11126.31,,6370,2094.5,9628.03,2094.5
285,7/2/16 21:53,49,7,1310,7,1,9080.29,,15903,5630,16207.4,5630
286,7/2/16 21:57,55,4,1100,5,2,2603.01,,3813,856.5,14119.5,856.5
287,7/2/16 22:00,51,7,1717,8,1,17753.22,,26432.5,13138.5,50088.1,13138.5
288,7/2/16 22:05,54,6,1400,8,1,3652.38,,26410.5,10842,13549.4,10842
289,7/2/16 22:12,50,7,2000,3,1,13224.47,,9801,1566.5,9218.37,1566.5
290,7/2/16 22:15,53,7,1400,8,3,3477.08,,13835,5133,22083.3,5133
291,7/2/16 22:17,57,3,1100,4,1,2346.36,,2123.5,845,2350,845
